Identifier,BACKGROUND,LINE,GENOTYPE,SEX,RawCoord1,RawCoord2,RawCoord3,RawCoord4,RawCoord5,RawCoord6,RawCoord7,RawCoord8,RawCoord9,RawCoord10,RawCoord11,RawCoord12,RawCoord13,RawCoord14,RawCoord15,RawCoord16,RawCoord17,RawCoord18,Centroid Size,Log Centroid Size
Ore_10305_p_M_00008.jpg,Ore,10305,p,M,686,367,612,464,633,531,475,578,485,602,367,619,881,706,1030,578,1002,496,727.1217229598,6.5890938954
Ore_10305_p_M_00009.jpg,Ore,10305,p,M,721,404,636,497,655,559,504,599,509,620,403,633,886,741,1043,615,1017,534,702.91930942,6.5552421049
Ore_10305_p_M_00010.jpg,Ore,10305,p,M,664,427,585,519,601,584,449,622,451,645,335,657,841,763,1000,636,971,553,721.3872438265,6.5811760858
Ore_10305_w_F_00001.jpg,Ore,10305,w,F,821,204,709,273,701,354,528,352,527,378,392,357,938,622,1125,535,1124,442,824.9127900034,6.7152776717
Ore_10305_w_F_00002.jpg,Ore,10305,w,F,802,200,695,285,702,363,530,381,532,406,401,399,953,606,1141,498,1126,406,816.0928596401,6.7045281471
Ore_10305_w_F_00003.jpg,Ore,10305,w,F,849,481,747,571,764,650,585,677,588,701,448,702,1041,880,1216,764,1196,674,838.9347743154,6.7321329613
Ore_10305_w_F_00004.jpg,Ore,10305,w,F,742,376,655,472,670,547,511,590,515,615,383,628,940,755,1107,627,1083,537,791.6734736549,6.6741490261
Ore_10305_w_F_00005.jpg,Ore,10305,w,F,717,259,663,376,703,445,553,535,564,557,440,609,1027,552,1148,375,1093,302,808.7474540575,6.6954866978
Ore_10305_w_F_00006.jpg,Ore,10305,w,F,763,217,699,336,737,407,580,492,591,516,458,564,1065,540,1197,369,1155,288,834.2205943274,6.726497869
Ore_10305_w_F_00007.jpg,Ore,10305,w,F,726,60,642,169,668,245,503,305,511,329,376,358,981,416,1133,270,1096,188,830.546807832,6.7220842885
Ore_10305_w_F_00008.jpg,Ore,10305,w,F,882,465,789,563,798,643,630,682,636,708,496,717,1098,853,1269,723,1238,629,840.5114844876,6.7340106166
Ore_10305_w_F_00009.jpg,Ore,10305,w,F,790,201,700,296,717,373,547,416,553,442,414,454,1010,577,1174,444,1147,361,826.848367128,6.7176213253
Ore_10305_w_F_00010.jpg,Ore,10305,w,F,839,274,732,362,736,443,561,468,564,494,426,492,1003,678,1185,565,1167,473,831.365810646,6.7230699033
Ore_10305_w_M_00001.jpg,Ore,10305,w,M,985,352,890,432,897,498,747,520,750,542,631,540,1132,709,1295,601,1275,516,726.3687462684,6.5880578008
Ore_10305_w_M_00002.jpg,Ore,10305,w,M,860,325,760,397,761,460,611,467,611,488,503,479,964,683,1135,594,1128,512,705.0431034893,6.5582589406
Ore_10305_w_M_00003.jpg,Ore,10305,w,M,803,383,733,480,760,534,618,587,621,606,520,630,1004,685,1137,557,1103,478,680.415232699,6.5227032481
Ore_10305_w_M_00004.jpg,Ore,10305,w,M,803,369,723,461,736,526,590,563,595,585,483,599,984,709,1141,588,1114,501,720.5459349996,6.5800091677
Ore_10305_w_M_00005.jpg,Ore,10305,w,M,827,427,738,521,749,583,608,618,610,641,494,651,1001,773,1154,654,1129,569,721.8770286167,6.5818548039
Ore_10305_w_M_00006.jpg,Ore,10305,w,M,753,274,660,367,679,436,525,469,529,491,421,503,924,624,1084,502,1056,417,729.116969735,6.5918341714
Ore_10305_w_M_00007.jpg,Ore,10305,w,M,781,221,675,292,676,357,519,360,518,380,406,368,877,592,1054,506,1048,419,725.5877311225,6.5869819901
